customer_id,customer_name,customer_email
1,Alice,alice@example.com
2,Bob,bob@example.com
3,Charlie,charlie@example.com
4,David,david@example.com
5,Ella,ella@example.com
6,Frank,frank@example.com
7,Grace,grace@example.com
8,Henry,henry@example.com
9,Isabel,isabel@example.com
10,Jack,jack@example.com
11,Kate,kate@example.com
12,Liam,liam@example.com
13,Mia,mia@example.com
14,Noah,noah@example.com
15,Olivia,olivia@example.com
16,Peter,peter@example.com
17,Quinn,quinn@example.com
18,Rachel,rachel@example.com
19,Simon,simon@example.com
20,Tina,tina@example.com
21,Uriah,uriah@example.com
22,Victoria,victoria@example.com
23,William,william@example.com
24,Xena,xena@example.com
25,Yasmine,yasmine@example.com
26,Zane,zane@example.com
27,Ava,ava@example.com
28,Ben,ben@example.com
29,Chloe,chloe@example.com
30,Daniel,daniel@example.com
31,Emily,emily@example.com
32,Finn,finn@example.com
33,Gabrielle,gabrielle@example.com
34,Henry,henry@example.com
35,Isabella,isabella@example.com
36,Jack,jack@example.com
37,Katherine,katherine@example.com
38,Liam,liam@example.com
39,Mia,mia@example.com
40,Noah,noah@example.com
41,Olivia,olivia@example.com
42,Peter,peter@example.com
43,Quinn,quinn@example.com
44,Rachel,rachel@example.com
45,Simon,simon@example.com
46,Tina,tina@example.com
47,Uriah,uriah@example.com
48,Victoria,victoria@example.com
49,William,william@example.com
50,Xena,xena@example.com
51,Yasmine,yasmine@example.com
52,Zane,zane@example.com
53,Ava,ava@example.com
54,Ben,ben@example.com
55,Chloe,chloe@example.com
56,Daniel,daniel@example.com
57,Emily,emily@example.com
58,Finn,finn@example.com
59,Gabrielle,gabrielle@example.com
60,Henry,henry@example.com
61,Isabella,isabella@example.com
62,Jack,jack@example.com
63,Katherine,katherine@example.com
64,Liam,liam@example.com
65,Mia,mia@example.com
66,Noah,noah@example.com
67,Olivia,olivia@example.com
68,Peter,peter@example.com
69,Quinn,quinn@example.com
70,Rachel,rachel@example.com
71,Simon,simon@example.com
72,Tina,tina@example.com
73,Uriah,uriah@example.com
74,Victoria,victoria@example.com
75,William,william@example.com
76,Xena,xena@example.com
77,Yasmine,yasmine@example.com
78,Zane,zane@example.com
79,Ava,ava@example.com
80,Ben,ben@example.com
81,Chloe,chloe@example.com
82,Daniel,daniel@example.com
83,Emily,emily@example.com
84,Finn,finn@example.com
85,Gabrielle,gabrielle@example.com
86,Henry,henry@example.com
87,Isabella,isabella@example.com
88,Jack,jack@example.com
89,Katherine,katherine@example.com
90,Liam,liam@example.com
91,Mia,mia@example.com
92,Noah,noah@example.com
93,Olivia,olivia@example.com
94,Peter,peter@example.com
95,Quinn,quinn@example.com
96,Rachel,rachel@example.com
97,Simon,simon@example.com
98,Tina,tina@example.com
99,Uriah,uriah@example.com
100,Victoria,victoria@example.com
